"id";"user_id";"title";"cv_file";"is_default";"created_at";"updated_at"
"4";"4";"Jawad CV -1";"jawad-cv-1-1533894081-29.doc";"0";"2018-08-10 12:11:21";"2018-09-01 08:41:26"
"12";"16";"SAP Security Analyst";"sap-security-analyst-1701927215-458.docx";"0";"2023-12-07 11:03:35";"2023-12-07 11:04:41"
"13";"16";"SAP Security Analyst";"sap-security-analyst-1701927282-315.docx";"0";"2023-12-07 11:04:42";"2023-12-07 11:32:49"
"14";"17";"Software Development";"software-development-1701928969-270.docx";"0";"2023-12-07 11:32:49";"2023-12-08 10:00:17"
"15";"18";"Full Stack Developer";"full-stack-developer-1702009817-200.docx";"0";"2023-12-08 10:00:17";"2023-12-08 10:13:10"
"16";"19";"Sr. Full Stack Developer";"sr-full-stack-developer-1702010590-386.docx";"0";"2023-12-08 10:13:10";"2023-12-08 10:24:04"
"17";"20";"Software Developer";"software-developer-1702011244-487.docx";"0";"2023-12-08 10:24:04";"2023-12-08 10:24:04"
"18";"20";"Software Developer";"software-developer-1702011245-299.docx";"0";"2023-12-08 10:24:05";"2023-12-08 10:24:05"
"19";"20";"Software Developer";"software-developer-1702011246-20.docx";"0";"2023-12-08 10:24:06";"2023-12-08 10:32:24"
"20";"21";"Full-Stack Developer";"full-stack-developer-1702011745-641.docx";"0";"2023-12-08 10:32:25";"2023-12-08 10:39:54"
"21";"22";"Full Stack Software Developer";"full-stack-software-developer-1702012194-511.pdf";"0";"2023-12-08 10:39:54";"2023-12-08 10:47:43"
"22";"23";"Full Stack Developer";"full-stack-developer-1702012663-652.docx";"0";"2023-12-08 10:47:43";"2023-12-08 10:54:02"
"23";"24";"full-stack developer";"full-stack-developer-1702013042-279.docx";"0";"2023-12-08 10:54:02";"2023-12-08 10:59:58"
"24";"25";"UI Developer/.Net Full Stack Developer";"ui-developernet-full-stack-developer-1702013398-83.docx";"0";"2023-12-08 10:59:58";"2023-12-08 11:15:52"
"25";"26";"Sr. Full Stack Developer";"sr-full-stack-developer-1702014352-609.docx";"0";"2023-12-08 11:15:52";"2023-12-08 11:22:48"
"26";"27";"Software Engineer";"software-engineer-1702014768-311.docx";"0";"2023-12-08 11:22:48";"2023-12-08 11:30:22"
"27";"28";"Software Engineer & Database Administrator";"software-engineer-database-administrator-1702015222-571.docx";"0";"2023-12-08 11:30:22";"2023-12-08 11:37:39"
"28";"29";"Full-Stack Developer/Solution Architect";"full-stack-developersolution-architect-1702015659-160.docx";"0";"2023-12-08 11:37:39";"2023-12-09 13:02:06"
"29";"30";"Full-Stack Developer";"full-stack-developer-1702107126-781.pdf";"0";"2023-12-09 13:02:06";"2023-12-09 13:18:54"
"30";"32";"Full Stack Development";"full-stack-development-1702108135-980.pdf";"0";"2023-12-09 13:18:55";"2023-12-09 13:26:15"
"31";"33";"Full Stack Web Developer";"full-stack-web-developer-1702108575-1.docx";"0";"2023-12-09 13:26:15";"2023-12-09 13:31:48"
"32";"34";"Full Stack Architect";"full-stack-architect-1702108908-937.docx";"0";"2023-12-09 13:31:48";"2023-12-09 13:36:53"
"33";"35";"Full Stack Develope";"full-stack-develope-1702109214-742.pdf";"0";"2023-12-09 13:36:54";"2023-12-09 13:36:56"
"34";"35";"Full Stack Develope";"full-stack-develope-1702109216-275.pdf";"0";"2023-12-09 13:36:56";"2023-12-09 13:43:27"
"35";"36";"Full Stack Web Developer";"full-stack-web-developer-1702109607-638.pdf";"0";"2023-12-09 13:43:27";"2023-12-09 13:48:51"
"36";"37";"Software Engineer (";"software-engineer-1702109931-760.pdf";"0";"2023-12-09 13:48:51";"2023-12-09 13:52:56"
"37";"38";"Software Engineer";"software-engineer-1702110177-750.pdf";"0";"2023-12-09 13:52:57";"2023-12-09 13:57:11"
"38";"39";"Lead Full Stack Developer";"lead-full-stack-developer-1702110432-169.docx";"0";"2023-12-09 13:57:12";"2023-12-09 14:01:34"
"39";"40";"Full stack developer";"full-stack-developer-1702110694-456.docx";"0";"2023-12-09 14:01:34";"2023-12-09 14:06:29"
"40";"41";"Full Stack Software Developer";"full-stack-software-developer-1702110990-509.docx";"0";"2023-12-09 14:06:30";"2023-12-09 14:10:18"
"41";"42";"Senior Full Stack Software Engineer Frontend/Backend Technologies";"senior-full-stack-software-engineer-frontendbackend-technologies-1702111218-1.docx";"0";"2023-12-09 14:10:18";"2023-12-09 14:16:02"
"42";"43";"Full stack developer";"full-stack-developer-1702111562-409.docx";"0";"2023-12-09 14:16:02";"2023-12-09 14:19:43"
"43";"44";"Full-stack Developer";"full-stack-developer-1702111784-635.pdf";"0";"2023-12-09 14:19:44";"2023-12-09 14:23:28"
"44";"45";"Sr. Full Stack/Drupal Developer";"sr-full-stackdrupal-developer-1702112008-936.docx";"0";"2023-12-09 14:23:28";"2023-12-11 10:39:08"
"45";"46";"Information Technology";"information-technology-1702271348-191.docx";"0";"2023-12-11 10:39:08";"2023-12-11 10:46:49"
"46";"47";"Senior Full Stack Engineer / Architect";"senior-full-stack-engineer-architect-1702271809-466.docx";"0";"2023-12-11 10:46:49";"2023-12-11 10:51:12"
"47";"48";"Full-Stack Software Engineer";"full-stack-software-engineer-1702272072-429.pdf";"0";"2023-12-11 10:51:12";"2023-12-11 10:57:33"
"48";"49";"Full Stack Engineer";"full-stack-engineer-1702272455-587.pdf";"0";"2023-12-11 10:57:35";"2023-12-11 11:19:21"
"49";"50";"Full-Stack Software Engineer";"full-stack-software-engineer-1702273761-557.docx";"0";"2023-12-11 11:19:21";"2023-12-11 11:24:57"
"50";"51";"Software Engineer";"software-engineer-1702274097-741.docx";"0";"2023-12-11 11:24:57";"2023-12-11 11:32:02"
"51";"52";"Full Stack Developer - Web Technologies";"full-stack-developer-web-technologies-1702274523-203.docx";"0";"2023-12-11 11:32:03";"2023-12-11 11:36:56"
"52";"53";"Sr. Full Stack Engineer";"sr-full-stack-engineer-1702274816-485.docx";"0";"2023-12-11 11:36:56";"2023-12-11 11:42:19"
"53";"54";"Full Stack Developer";"full-stack-developer-1702275139-432.pdf";"0";"2023-12-11 11:42:19";"2023-12-14 21:08:57"
"54";"55";"Full Stack web developer";"full-stack-web-developer-1702568337-864.docx";"0";"2023-12-14 21:08:57";"2023-12-14 21:09:09"
"55";"55";"Full Stack web developer";"full-stack-web-developer-1702568349-837.docx";"0";"2023-12-14 21:09:10";"2023-12-14 21:09:11"
"56";"55";"Full Stack web developer";"full-stack-web-developer-1702568350-270.docx";"0";"2023-12-14 21:09:10";"2023-12-14 21:09:11"
"57";"55";"Full Stack web developer";"full-stack-web-developer-1702568352-23.docx";"0";"2023-12-14 21:09:12";"2023-12-14 21:14:52"
"58";"56";"Full-Stack Software Engineer";"full-stack-software-engineer-1702568692-205.pdf";"0";"2023-12-14 21:14:52";"2023-12-14 21:19:06"
"59";"57";"Full-stack developer";"full-stack-developer-1702568946-597.pdf";"0";"2023-12-14 21:19:06";"2023-12-14 21:24:57"
"60";"58";"Full Stack Developer";"full-stack-developer-1702569297-890.pdf";"0";"2023-12-14 21:24:57";"2023-12-14 21:28:49"
"61";"59";"Full Stack Developer";"full-stack-developer-1702569529-920.docx";"0";"2023-12-14 21:28:49";"2023-12-14 21:32:49"
"62";"60";"Full Stack Developer";"full-stack-developer-1702569769-93.docx";"0";"2023-12-14 21:32:49";"2023-12-14 21:36:45"
"63";"61";"Sr. Full Stack Developer";"sr-full-stack-developer-1702570005-106.docx";"0";"2023-12-14 21:36:45";"2023-12-14 21:41:10"
"64";"62";"Full-Stack Software Engineer";"full-stack-software-engineer-1702570270-540.pdf";"0";"2023-12-14 21:41:10";"2023-12-14 21:47:49"
"65";"63";"FullStack Developer";"fullstack-developer-1702570669-833.docx";"0";"2023-12-14 21:47:49";"2023-12-14 22:25:03"
"66";"64";"Interactive/Web";"interactiveweb-1702572903-462.docx";"0";"2023-12-14 22:25:03";"2023-12-14 22:29:46"
"67";"65";"User Erperience Consultan";"user-erperience-consultan-1702573187-474.docx";"0";"2023-12-14 22:29:47";"2023-12-14 22:33:52"
"68";"66";"UI I UX I Visual Designer";"ui-i-ux-i-visual-designer-1702573432-54.pdf";"0";"2023-12-14 22:33:52";"2023-12-14 22:37:21"
"69";"67";"Graphic/Visual/UI Designer";"graphicvisualui-designer-1702573641-286.docx";"0";"2023-12-14 22:37:21";"2023-12-14 22:42:18"
"70";"68";"Senior Product Designer";"senior-product-designer-1702573939-153.docx";"0";"2023-12-14 22:42:19";"2023-12-14 22:46:35"
"71";"69";"Senior UX Designer";"senior-ux-designer-1702574195-915.docx";"0";"2023-12-14 22:46:35";"2023-12-14 22:53:58"
"72";"70";"UI Design";"ui-design-1702574638-866.pdf";"0";"2023-12-14 22:53:58";"2023-12-14 22:57:53"
"73";"71";"Principal UX Designer";"principal-ux-designer-1702574873-617.pdf";"0";"2023-12-14 22:57:53";"2023-12-14 23:02:05"
"74";"72";"PNC Project | UX Designer";"pnc-project-ux-designer-1702575125-31.pdf";"0";"2023-12-14 23:02:05";"2023-12-14 23:07:31"
"75";"73";"UX development";"ux-development-1702575451-346.docx";"0";"2023-12-14 23:07:31";"2023-12-14 23:11:49"
"76";"74";"Senior User Experience Designer";"senior-user-experience-designer-1702575709-413.docx";"0";"2023-12-14 23:11:49";"2023-12-14 23:15:40"
"77";"75";"User Experience Designer";"user-experience-designer-1702575940-488.docx";"0";"2023-12-14 23:15:40";"2023-12-14 23:20:12"
"78";"76";"Software Developer";"software-developer-1702576212-152.pdf";"0";"2023-12-14 23:20:12";"2023-12-14 23:24:25"
"79";"77";"UI/UX Designer";"uiux-designer-1702576468-637.docx";"0";"2023-12-14 23:24:28";"2023-12-14 23:32:05"
